run,contact_axis,interface_scenario,polarization,id,kind,target_waist_um,beam_x_um,beam_y_um,terminal_current_nA,Tmax_flake_K,Au_absorbed_W,TaIrTe4_absorbed_W,SiO2_absorbed_W,Si_absorbed_W,optical_closure,Maxwell_wall_s,passed
56,y,evaporated,Eb,position_x-5_y5,position,8.5,-5.0,5.0,150.4876192253557,2.445258507320167,2.705726496353083e-07,2.9976201631593287e-05,1.253473345211552e-05,1.0136972977975382e-06,0.0005949045979742727,126.55219008773565,True
56,y,evaporated,Eb,position_x-5_y10,position,8.5,-5.0,10.0,28.72435873349054,1.6155373712548382,6.808082699049732e-07,1.407132175114406e-05,9.735824033583255e-06,7.861248455091872e-07,0.0008877404248386116,126.36650104448199,True
56,y,evaporated,Eb,position_x0_y-10,position,8.5,0.0,-10.0,358.9396366000769,2.1200637701790206,7.060892698006509e-07,2.0800332325101544e-05,8.73649594805832e-06,7.052130609234071e-07,4.2765276820352077e-07,153.19727287441492,True
56,y,evaporated,Eb,position_x0_y-5,position,8.5,0.0,-5.0,827.0991585196485,3.220610007298507,2.819487504109581e-07,3.930332635415561e-05,1.1363816848433298e-05,9.120933703354509e-07,4.1731634509383786e-05,124.92691481113434,True
56,y,evaporated,Eb,position_x0_y5,position,8.5,0.0,5.0,452.39440339631017,1.7159381900265982,2.859560536117777e-07,2.4942535036483525e-05,1.3393333580342413e-05,1.0953812711601011e-06,0.00019248766289623156,197.86814923211932,True
56,y,evaporated,Eb,position_x0_y10,position,8.5,0.0,10.0,89.61422050023202,0.5223438875707844,7.174090034348218e-07,8.83879677519009e-06,1.0386742019823019e-05,8.547347234527615e-07,0.0001756909875210471,152.85139613971114,True
56,y,evaporated,Eb,position_x5_y-10,position,8.5,5.0,-10.0,187.1456683635418,1.577730887181383,6.931477779318855e-07,1.4297337700065284e-05,9.691912157310431e-06,7.823490423883626e-07,0.0007606261604493356,126.10158118233085,True
56,y,evaporated,Eb,position_x5_y-5,position,8.5,5.0,-5.0,392.34325999199905,2.651260780311836,2.7768419071587814e-07,3.080894910334722e-05,1.2405885234854904e-05,1.0028728010071063e-06,0.0005457220905508781,125.17560893297195,True
56,y,evaporated,Eb,position_x5_y0,position,8.5,5.0,0.0,373.01577883127965,3.1280833070640943,5.8329946526080096e-08,3.8863575101683544e-05,1.260139467549577e-05,1.0168543276121388e-06,0.0004857475991228091,124.79100935906172,True
56,y,evaporated,Eb,position_x5_y5,position,8.5,5.0,5.0,153.1619781997193,2.442892292643161,2.705327839072389e-07,2.9989035010508294e-05,1.2574746184340538e-05,1.0170950862543957e-06,0.0004295331090656311,153.21790797263384,True
56,y,evaporated,Eb,position_x5_y10,position,8.5,5.0,10.0,29.53243090087004,1.6178863537964825,6.807313366899292e-07,1.4101802559158326e-05,9.766449884758366e-06,7.887196297655001e-07,0.0005851330456239248,153.4467962011695,True
56,y,evaporated,Eb,position_x10_y-10,position,8.5,10.0,-10.0,10.111120194172754,0.4999333960835689,5.254574576964038e-07,4.77490201777356e-06,1.0135536319542834e-05,8.027403980558876e-07,0.006055034373784439,126.83363332226872,True
56,y,evaporated,Eb,position_x10_y-5,position,8.5,10.0,-5.0,-63.61840153413576,1.3627245083466253,2.1094735209846083e-07,1.4161357564478801e-05,1.2536793631362591e-05,1.0201045506119525e-06,0.004689501184704994,199.79711956903338,True
56,y,evaporated,Eb,position_x10_y0,position,8.5,10.0,0.0,-221.96965648058753,2.670067032803693,4.316980362507944e-08,2.572776206194825e-05,1.1849435430379737e-05,9.610896881242024e-07,0.003373176297216935,122.51356456056237,True
56,y,evaporated,Eb,position_x10_y5,position,8.5,10.0,5.0,-206.34908518393664,3.0524281078034603,1.9523706490105479e-07,2.7030986063725972e-05,1.0898299826503807e-05,8.656385090882179e-07,0.002915001596310583,154.76929081231356,True
56,y,evaporated,Eb,position_x10_y10,position,8.5,10.0,10.0,-59.04872469255229,2.1338941828846876,4.928987172080853e-07,1.5746977174904213e-05,8.745099409708055e-06,6.745935019199117e-07,0.0032139316375091476,127.0035466812551,True
