absolute_error,analytic,direction,family,finite_difference,minimum_Q_minus_W_m3,minimum_Q_plus_W_m3,relative_error,space,step
2.339703955876681e-34,1.7145532591807404e-21,0,unrestricted,1.7145532591805065e-21,-1736.8726804847781,-1460.8001067195853,1.3646143351619503e-13,source_Q,0.001
1.2053989271072065e-32,1.7145532591807404e-21,0,unrestricted,1.7145532591927944e-21,-521.0618041454334,-438.24003201587556,7.030396522550594e-12,source_Q,0.0003
6.220828952009224e-32,1.7145532591807404e-21,0,unrestricted,1.7145532592429487e-21,-173.68726804847782,-146.08001067195855,3.628250635376415e-11,source_Q,0.0001
2.5561829955241135e-32,1.7145532591807404e-21,0,unrestricted,1.7145532591551786e-21,-52.10618041454334,-43.824003201587566,1.4908740698702626e-11,source_Q,3e-05
5.020289988746058e-31,1.7145532591807404e-21,0,unrestricted,1.7145532586787114e-21,-17.368726804847782,-14.608001067195854,2.9280455196503415e-10,source_Q,1e-05
4.664361584062837e-34,4.211537142423093e-21,1,unrestricted,4.21153714242356e-21,-18949.116688779046,-14795.724213232583,1.1075199924223421e-13,source_Q,0.01
1.6550960459577808e-34,4.211537142423093e-21,1,unrestricted,4.211537142423259e-21,-5684.735006633714,-4438.717263969775,3.9299096505308916e-14,source_Q,0.003
3.927091527227098e-33,4.211537142423093e-21,1,unrestricted,4.21153714242702e-21,-1894.9116688779045,-1479.5724213232581,9.32460380716875e-13,source_Q,0.001
1.746878644869985e-32,4.211537142423093e-21,1,unrestricted,4.211537142440562e-21,-568.4735006633713,-443.8717263969774,4.147841003878513e-12,source_Q,0.0003
2.499195029396249e-32,4.211537142423093e-21,1,unrestricted,4.211537142448085e-21,-189.49116688779046,-147.95724213232583,5.934163572301647e-12,source_Q,0.0001
2.2654503287239388e-32,4.211537142423093e-21,1,unrestricted,4.211537142400439e-21,-56.847350066337135,-44.387172639697745,5.379153150292579e-12,source_Q,3e-05
7.765409721080097e-32,4.211537142423093e-21,1,unrestricted,4.211537142500747e-21,-18.949116688779046,-14.795724213232583,1.8438421551263575e-11,source_Q,1e-05
