center_um,current_A,objective_A2,node_signature,node_count
1.5249999999999808,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.5499999999999803,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.5749999999999797,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.59999999999998,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.6249999999999805,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.64999999999998,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.6749999999999794,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.6999999999999797,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.72499999999998,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.7499999999999796,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.774999999999979,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.7999999999999794,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
1.8249999999999797,3.0573853865208385e-11,9.347605401711178e-22,1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,12
